segment_id,road,direction,miles,road_class,func_class,aadt
segment_0,road_11000065,WESTBOUND,0.537277004004004,Interstate,3,39821
segment_1,road_11000065,EASTBOUND,0.8739470030030031,Interstate,3,46061
segment_2,road_11000065,EASTBOUND,0.8319210030030031,Interstate,3,10938
segment_3,road_11000065,WESTBOUND,0.654299002002002,Interstate,3,41522
segment_4,road_11000065,WESTBOUND,0.8171580040040041,Interstate,3,32572
segment_5,road_11000065,EASTBOUND,0.322002,Interstate,3,37317
segment_6,road_11000066,NORTHBOUND,0.156235004004004,Interstate,1,36606
segment_7,road_11000066,SOUTHBOUND,0.28999400200200204,Interstate,1,50337
segment_8,road_11000066,SOUTHBOUND,0.27292900400400405,Interstate,1,40729
segment_9,road_11000066,SOUTHBOUND,0.5363620030030031,Interstate,1,77466
segment_10,road_11000066,SOUTHBOUND,0.924939004004004,Interstate,1,78686
segment_11,road_11000066,SOUTHBOUND,0.611116,Interstate,1,71900
segment_12,road_11000066,SOUTHBOUND,0.879852004004004,Interstate,1,69691
segment_13,road_11000066,SOUTHBOUND,0.291186002002002,Interstate,1,82875
segment_14,road_11000066,SOUTHBOUND,0.27498,Interstate,1,70077
segment_15,road_11000066,SOUTHBOUND,0.46552500200200203,Interstate,1,31509
segment_16,road_11000066,SOUTHBOUND,0.62805,Interstate,1,38204
segment_17,road_11000066,SOUTHBOUND,0.126434002002002,Interstate,1,25092
segment_18,road_11000066,SOUTHBOUND,0.42651,Interstate,1,35709
segment_19,road_11000066,SOUTHBOUND,0.604507001001001,Interstate,2,36655
segment_20,road_11000066,NORTHBOUND,0.740278004004004,Interstate,2,45860
segment_21,road_11000066,NORTHBOUND,0.370332,Interstate,1,42108
segment_22,road_11000066,NORTHBOUND,0.562121002002002,Interstate,1,79297
segment_23,road_11000066,NORTHBOUND,0.818914001001001,Interstate,1,167000
segment_24,road_11000066,NORTHBOUND,0.600586003003003,Interstate,1,156590
segment_25,road_11000066,NORTHBOUND,0.389947,Interstate,1,143854
segment_26,road_11000066,NORTHBOUND,1.105462002002002,Interstate,1,146240
segment_27,road_11000066,NORTHBOUND,0.7021610020020019,Interstate,1,96066
segment_28,road_11000066,NORTHBOUND,0.20963,Interstate,1,68677
segment_29,road_11000066,NORTHBOUND,0.538156,Interstate,1,31575
segment_30,road_11000066,NORTHBOUND,0.577599003003003,Interstate,1,35394
segment_31,road_11000066,NORTHBOUND,0.181355003003003,Interstate,1,32976
segment_32,road_11000066,NORTHBOUND,0.10562700400400402,Interstate,1,26383
segment_33,road_11000066,NORTHBOUND,0.257078001001001,Interstate,1,34451
segment_34,road_11000066,SOUTHBOUND,0.261769003003003,Interstate,1,80626
segment_35,road_11000066,NORTHBOUND,4.816623,Interstate,1,38073
segment_36,road_11000066,SOUTHBOUND,0.979444003003003,Interstate,1,45374
segment_37,road_11000066,NORTHBOUND,3.575208001001001,Interstate,1,41087
segment_38,road_11000066,SOUTHBOUND,4.899471002002002,Interstate,1,43073
segment_39,road_11000066,NORTHBOUND,3.9147090020020023,Interstate,1,42242
segment_40,road_11000066,SOUTHBOUND,3.656457003003003,Interstate,1,42413
segment_41,road_11000066,NORTHBOUND,2.193859004004004,Interstate,1,49700
segment_42,road_11000066,SOUTHBOUND,3.4848400020020023,Interstate,1,31199
segment_43,road_11000066,NORTHBOUND,0.424377004004004,Interstate,1,43312
segment_44,road_11000066,SOUTHBOUND,2.3436130030030027,Interstate,1,44601
segment_45,road_11000066,NORTHBOUND,0.458644003003003,Interstate,1,56070
segment_46,road_11000066,SOUTHBOUND,0.515205,Interstate,1,40593
segment_47,road_11000066,NORTHBOUND,1.811253001001001,Interstate,1,82973
segment_48,road_11000066,SOUTHBOUND,1.175794001001001,Interstate,1,38502
segment_49,road_11000066,SOUTHBOUND,0.500172004004004,Interstate,1,46147
segment_50,road_11000066,NORTHBOUND,1.217943004004004,Interstate,1,34159
segment_51,road_11000066,SOUTHBOUND,0.89403,Interstate,1,138845
segment_52,road_11000066,NORTHBOUND,0.565580003003003,Interstate,1,30292
segment_53,road_11000066,SOUTHBOUND,0.661638002002002,Interstate,1,72649
segment_54,road_11000066,NORTHBOUND,0.835183004004004,Interstate,1,147255
segment_55,road_11000066,SOUTHBOUND,0.52447,Interstate,1,73569
segment_56,road_11000066,NORTHBOUND,0.730651,Interstate,1,189994
segment_57,road_11000066,SOUTHBOUND,1.337365,Interstate,1,41474
segment_58,road_11000066,NORTHBOUND,1.413919001001001,Interstate,1,167928
segment_59,road_11000066,SOUTHBOUND,0.8179240010010009,Interstate,1,90058
segment_60,road_11000066,NORTHBOUND,0.269545,Interstate,1,240042
segment_61,road_11000066,SOUTHBOUND,0.5962560030030031,Interstate,1,97856
segment_62,road_11000066,NORTHBOUND,0.564672002002002,Interstate,1,78662
segment_63,road_11000066,SOUTHBOUND,1.9825660040040038,Interstate,1,79528
segment_64,road_11000066,NORTHBOUND,0.535489002002002,Interstate,1,46948
segment_65,road_11000066,SOUTHBOUND,0.507156,Interstate,1,57247
segment_66,road_11000070,EASTBOUND,0.5325090020020019,Interstate,1,37064
segment_67,road_11000070,EASTBOUND,0.655147,Interstate,1,39563
segment_68,road_11000070,EASTBOUND,0.495197003003003,Interstate,1,14498
segment_69,road_11000070,WESTBOUND,0.580007002002002,Interstate,1,6262
segment_70,road_11000070,EASTBOUND,3.138268003003003,Interstate,1,34447
segment_71,road_11000070,WESTBOUND,0.5294170020020019,Interstate,1,30931
segment_72,road_11000070,WESTBOUND,4.982939003003003,Interstate,1,28684
segment_73,road_11000070,EASTBOUND,6.077579,Interstate,1,35315
segment_74,road_11000070,WESTBOUND,2.414471001001001,Interstate,1,31589
segment_75,road_11000070,EASTBOUND,0.568668001001001,Interstate,1,30683
segment_76,road_11000070,WESTBOUND,0.422840001001001,Interstate,1,42802
segment_77,road_11000070,EASTBOUND,2.4488470020020023,Interstate,1,29026
segment_78,road_11000070,WESTBOUND,0.462223003003003,Interstate,1,38099
segment_79,road_11000070,WESTBOUND,1.027294001001001,Interstate,1,31239
segment_80,road_11000070,EASTBOUND,0.285131,Interstate,1,37188
segment_81,road_11000070,WESTBOUND,0.574554004004004,Interstate,1,20113
segment_82,road_11000070,EASTBOUND,1.013564,Interstate,1,31128
segment_83,road_11000070,WESTBOUND,3.0096990030030026,Interstate,1,29799
